ot_id,employee_id,ot_date,hours_worked,approved_by
288,33340,31-01-2025,2.2,admin2
289,33518,28-01-2024,4.8,manager_hr
290,33989,10-12-2024,5.9,lead_hr
291,33748,01-01-2023,3.5,manager_hr
292,31611,30-03-2023,5.6,hr_user
293,32110,13-11-2023,2.9,hr_user
294,33307,20-03-2024,3.7,lead_hr
295,32371,19-08-2023,4.8,hr_user
296,30029,10-12-2023,3.1,admin1
297,31111,03-09-2024,3.6,hr_user
298,31792,09-06-2024,5.2,hr_user
299,32709,01-06-2025,1.3,admin2
300,33005,14-02-2025,2.1,admin1
301,31139,05-10-2024,3.5,lead_hr
302,31905,06-06-2023,5.1,lead_hr
303,32650,29-05-2024,4,admin1
304,30388,07-06-2024,2.2,lead_hr
305,30313,30-10-2024,5.6,admin2
306,32115,15-01-2023,3.1,admin2
307,33536,26-01-2024,3,admin1
308,33108,23-02-2024,4.5,manager_hr
309,31873,02-06-2023,3.6,lead_hr
310,31539,02-09-2024,5.1,admin1
311,31377,03-05-2023,6,hr_user
312,31864,16-02-2023,4.9,hr_user
313,31396,05-02-2023,2.6,lead_hr
314,33055,21-05-2023,5.8,manager_hr
315,32899,14-05-2024,5,lead_hr
316,32327,18-03-2023,5.3,manager_hr
317,32035,13-04-2023,3.7,lead_hr
318,32894,21-06-2025,2,lead_hr
319,32347,09-05-2023,1.8,admin1
320,32184,20-08-2023,5.8,admin1
321,32801,31-10-2024,5.6,admin2
322,32986,27-10-2023,3.4,admin2
323,30600,25-01-2025,3.3,lead_hr
324,33104,03-07-2023,2.9,lead_hr
325,31156,12-10-2023,4,admin2
326,30762,22-11-2024,4,admin2
327,31083,12-07-2024,5.5,hr_user
328,31842,11-02-2024,5.6,hr_user
329,33922,06-03-2025,4,admin2
330,31167,31-08-2023,3.3,hr_user
331,33594,27-06-2024,3.4,admin2
332,32911,02-06-2025,1.1,admin1
333,30744,18-12-2023,5,admin1
334,30264,08-06-2023,1.8,admin2
335,32715,15-08-2024,1.8,manager_hr
336,32500,18-02-2025,3.5,hr_user
337,30806,23-04-2025,2.6,admin2
338,31728,10-01-2023,1.6,admin2
339,31550,13-03-2024,4.4,admin2
340,30792,09-06-2024,4.3,hr_user
341,32134,04-05-2025,5,admin2
342,31200,06-11-2023,3.6,admin1
343,31607,15-08-2023,6,manager_hr
344,30232,28-12-2023,2.1,admin2
345,31102,06-04-2023,5.7,admin1
346,30475,10-03-2025,3.5,hr_user
347,33982,25-02-2024,3.9,admin2
348,32646,22-03-2023,5.7,admin1
349,31808,28-03-2025,4.8,admin2
350,31718,17-02-2025,3.8,lead_hr
351,32489,18-12-2023,4.6,admin2
352,32044,14-10-2024,5.9,manager_hr
353,31083,19-03-2023,4.4,admin2
354,33252,02-02-2024,3.6,admin1
355,31641,30-09-2024,5.5,hr_user
356,30048,26-11-2023,4.8,hr_user
357,33381,23-11-2023,4.9,admin2
358,33339,12-12-2024,1.1,admin1
359,33092,24-04-2023,5.9,admin1
360,30720,12-05-2025,4.6,admin2
361,32508,07-01-2023,3.8,manager_hr
362,31148,11-07-2023,4.7,lead_hr
363,33008,29-08-2023,1.4,hr_user
364,33253,14-06-2024,4.9,admin1
365,32554,17-03-2025,3.8,hr_user
366,30235,08-09-2024,5.7,admin1
367,31071,13-02-2023,3.3,admin2
368,30934,04-05-2023,3.3,admin2
369,33548,23-06-2024,4.9,admin2
370,30610,09-04-2025,4.1,hr_user
371,31258,10-10-2023,3.6,admin1
372,33194,16-04-2024,5.8,admin2
373,30201,04-10-2023,5,hr_user
374,32523,16-04-2025,3.3,admin2
375,32604,23-04-2024,2.5,admin1
376,33473,05-02-2025,1.1,admin2
377,33988,21-06-2025,2.2,manager_hr
378,33750,12-12-2023,5.8,admin1
379,33639,12-09-2024,1.4,admin1
380,32224,01-10-2024,5.9,lead_hr
381,32515,14-10-2024,1,manager_hr
382,31989,09-10-2023,5.3,lead_hr
383,30284,23-04-2025,5.6,lead_hr
384,32848,21-12-2023,1.4,admin1
385,30148,03-08-2024,1.3,hr_user
386,33594,01-06-2024,5.5,manager_hr
387,30578,19-08-2023,3.2,hr_user
388,33351,31-01-2023,1.8,lead_hr
389,32479,14-10-2024,1.9,manager_hr
390,32363,22-09-2024,4.3,admin2
391,33033,16-10-2023,3.7,manager_hr
392,33594,20-12-2024,5.8,lead_hr
393,32347,09-02-2024,1,hr_user
394,30026,24-06-2024,5.9,lead_hr
395,31051,30-01-2024,2.9,lead_hr
396,30731,16-02-2024,1.8,manager_hr
397,32271,01-03-2025,2,lead_hr
398,31172,26-03-2025,1.3,admin2
399,30435,25-12-2023,3.4,manager_hr
400,32304,20-10-2023,3.9,admin2
401,32201,05-12-2023,2,admin1
402,33176,30-11-2024,5.5,admin2
403,31508,24-05-2023,2.8,admin1
404,30520,07-08-2024,5,lead_hr
405,30668,02-04-2024,1.9,hr_user
406,31718,18-04-2023,1.8,lead_hr
407,32364,01-05-2024,6,manager_hr
408,31758,24-03-2023,1.9,admin2
409,30471,26-01-2025,1.4,hr_user
410,33341,06-10-2024,4.4,hr_user
411,32973,21-02-2025,1.6,lead_hr
412,32639,02-01-2023,4.8,hr_user
413,31093,15-04-2025,2.8,hr_user
414,30676,09-07-2023,1,admin2
415,32164,18-05-2024,1.9,hr_user
416,33050,08-11-2023,3.7,hr_user
417,32597,20-05-2023,5.2,admin2
418,30688,20-05-2024,3.7,manager_hr
419,30573,02-08-2023,2.5,admin2
420,31096,21-01-2024,4.9,hr_user
421,30448,20-05-2024,5,hr_user
422,30745,23-08-2024,5.7,admin2
423,33155,19-01-2023,2.7,admin1
424,31885,16-05-2024,4.6,admin2
425,31946,18-05-2023,2.7,lead_hr
426,32306,09-09-2023,3.7,hr_user
427,30791,14-09-2023,2.3,manager_hr
428,33825,09-08-2023,1,lead_hr
429,31567,29-03-2024,3.2,manager_hr
430,32393,07-01-2024,4.4,admin1
431,33089,10-08-2023,2.5,admin2
432,32155,06-03-2025,1.4,admin1
433,33033,25-11-2023,1.8,hr_user
434,31142,26-01-2025,2.2,hr_user
435,32888,21-06-2025,1.9,admin1
436,33493,03-10-2024,3.5,admin2
437,30843,15-02-2023,2.7,hr_user
438,32017,21-11-2023,3.8,lead_hr
439,30459,25-01-2023,3.9,lead_hr
440,32259,29-07-2023,4,lead_hr
441,31874,08-04-2025,5.7,hr_user
442,33438,07-03-2025,6,admin2
443,32329,12-05-2023,5.9,admin2
444,33538,24-12-2024,3.7,lead_hr
445,30136,25-10-2024,2.4,lead_hr
446,33233,02-01-2023,2.6,admin1
447,32478,07-01-2023,4.2,hr_user
448,33909,12-03-2025,1.6,manager_hr
449,33324,28-12-2023,4.6,lead_hr
450,33566,23-03-2023,3.7,admin1
451,32766,20-01-2024,3.7,admin1
452,30060,08-10-2024,5.9,admin2
453,32308,10-02-2025,4.4,hr_user
454,32791,08-03-2023,3.3,manager_hr
455,30157,29-07-2023,1.7,hr_user
456,33128,05-07-2023,5.2,admin1
457,30972,16-09-2024,2.9,manager_hr
458,30816,16-12-2024,4.6,lead_hr
459,32641,24-02-2024,2.2,hr_user
460,32800,20-05-2025,3.5,admin1
461,30351,18-07-2024,1.7,admin2
462,32769,15-04-2024,1.5,hr_user
463,30202,09-09-2024,5.3,hr_user
464,31468,02-06-2023,5.6,admin2
465,33703,11-12-2023,4.9,admin1
466,33924,19-07-2023,1.4,admin2
467,30236,24-09-2024,5.4,admin1
468,32785,05-05-2023,4.7,manager_hr
469,30131,01-10-2023,4.4,hr_user
470,31984,11-10-2023,3.6,lead_hr
471,32148,18-03-2023,3.1,admin2
472,31464,21-05-2024,3.9,hr_user
473,31300,30-08-2024,3.7,hr_user
474,30339,09-03-2024,2.7,admin2
475,32096,02-07-2024,4.4,lead_hr
476,31343,17-01-2025,1.2,admin1
477,32988,18-11-2024,3.3,lead_hr
478,33643,09-02-2024,2,lead_hr
479,33210,26-04-2024,5.7,manager_hr
480,32819,02-03-2023,4.5,hr_user
481,30688,02-03-2025,2.9,admin2
482,32619,04-02-2025,5.6,manager_hr
483,31498,22-05-2023,4.2,admin1
484,31314,24-07-2023,3.6,hr_user
485,31392,15-10-2023,4.6,manager_hr
486,31056,27-01-2025,1.2,admin1
487,31439,01-08-2023,4.4,manager_hr
488,33129,25-02-2023,3,lead_hr
489,33524,01-03-2023,2.1,lead_hr
490,31395,26-10-2023,1.9,admin2
491,33016,25-01-2025,3.1,hr_user
492,31909,14-10-2024,1.4,lead_hr
493,33884,13-09-2023,3.8,manager_hr
494,31543,25-08-2023,5.4,admin1
495,33368,25-08-2024,3.6,admin1
496,33403,17-11-2024,5.7,lead_hr
497,33287,15-02-2025,4.7,admin1
498,30669,26-12-2023,5.9,lead_hr
499,32248,25-04-2025,1.2,hr_user
500,31424,23-04-2023,3.3,admin2
501,32242,18-02-2024,5.1,admin1
502,30902,08-02-2025,4,admin1
503,33246,08-04-2024,5.9,admin1
504,30070,23-12-2023,2.8,lead_hr
505,32976,12-07-2023,3.3,hr_user
506,30748,22-06-2024,4.4,admin2
507,31070,02-07-2024,5,admin2
508,30669,24-08-2023,5.2,admin2
509,32407,11-05-2024,2.2,manager_hr
510,30407,10-05-2024,3.9,admin1
511,32348,01-07-2024,4.5,admin1
512,33099,05-11-2024,1.3,lead_hr
513,33208,07-03-2023,5.6,hr_user
514,30736,21-06-2024,1.5,manager_hr
515,31875,23-07-2023,1.1,lead_hr
516,30208,26-05-2023,1.7,admin1
517,31929,06-03-2024,2.4,lead_hr
518,30061,07-07-2024,3.5,admin2
519,33860,27-10-2024,1,manager_hr
520,33530,19-11-2024,2,hr_user
521,31013,16-08-2024,5.2,admin1
522,31856,17-04-2025,5.5,admin1
523,31162,03-05-2023,2.2,hr_user
524,31423,19-09-2023,3.1,admin1
525,33540,22-01-2025,2.3,admin1
526,33862,03-06-2023,2.5,admin1
527,32114,05-04-2024,5.6,admin2
528,33669,24-05-2025,5.6,manager_hr
529,32053,14-02-2023,1.1,lead_hr
530,31588,03-10-2023,5.6,manager_hr
531,31425,23-10-2023,5.7,admin1
532,32106,12-04-2023,1.6,admin2
533,31784,13-05-2025,6,admin1
534,32829,27-04-2025,1.8,admin2
535,33281,05-12-2024,5.8,lead_hr
536,31144,08-07-2023,3.8,lead_hr
537,32264,20-02-2023,3.6,manager_hr
538,32604,17-02-2024,4,manager_hr
539,30616,31-05-2024,2.3,manager_hr
540,30514,07-02-2024,5.5,admin1
541,33519,26-10-2023,1.3,manager_hr
542,30760,02-08-2023,4.5,admin2
543,33461,05-03-2025,5.8,manager_hr
544,30459,11-01-2024,4.7,manager_hr
545,30305,16-06-2023,5.7,hr_user
546,33665,09-10-2023,4.6,lead_hr
547,32370,25-05-2023,2.9,admin1
548,30288,01-04-2025,3.2,admin2
549,32893,24-04-2024,4.8,admin2
550,32562,04-04-2023,2.5,lead_hr
551,31298,22-06-2024,5.3,lead_hr
552,31401,10-02-2023,1.9,admin1
553,30580,02-01-2023,2.4,hr_user
554,32622,09-02-2023,5,admin2
555,32834,13-07-2024,1.1,lead_hr
556,33254,14-08-2024,4.9,admin1
557,33875,26-05-2025,2.7,manager_hr
558,32945,02-10-2023,5.7,hr_user
559,31655,18-04-2025,5.9,hr_user
560,33039,09-06-2025,4.2,admin2
561,30827,31-12-2024,1.7,admin2
562,30005,28-04-2024,2.6,admin2
563,33997,07-05-2023,1.5,manager_hr
564,32848,15-08-2024,4.8,lead_hr
565,31132,27-10-2024,4.3,hr_user
566,32190,28-01-2023,2.1,admin1
567,31561,26-08-2023,3.5,admin1
568,33287,07-12-2023,1.1,lead_hr
569,33452,04-07-2024,3.9,hr_user
570,32375,09-06-2024,5.8,hr_user
571,30810,18-07-2024,4.5,manager_hr
572,33020,08-08-2024,2.2,hr_user
573,33495,25-02-2024,2.3,admin2
574,32960,15-11-2024,2.4,admin1
575,32386,14-09-2023,4.9,manager_hr
576,33534,29-04-2024,2.4,hr_user
577,30751,12-01-2024,4.1,manager_hr
578,31211,16-04-2025,4.7,manager_hr
579,33645,03-11-2023,4.2,admin2
580,31546,21-02-2024,4.7,lead_hr
581,32285,03-02-2023,2.9,admin1
582,33375,23-03-2023,4.5,lead_hr
583,33693,02-06-2023,1.6,hr_user
584,33337,15-10-2024,2.2,lead_hr
585,33149,11-11-2023,3.8,admin2
586,32189,22-09-2024,5.2,admin2
587,30011,19-04-2024,1.4,admin2
588,33878,23-01-2023,4.6,lead_hr
589,30953,20-12-2024,5.8,admin1
590,30729,01-08-2023,4.6,manager_hr
591,30178,13-10-2024,4.5,hr_user
592,30820,17-03-2025,5.4,lead_hr
593,30586,15-07-2023,4.3,manager_hr
594,32100,21-05-2024,1.2,admin1
595,31757,25-12-2023,1.5,admin2
596,30814,26-04-2025,4.5,lead_hr
597,31840,26-08-2024,5.4,manager_hr
598,30936,06-09-2023,4.6,manager_hr
599,33175,20-03-2024,3.7,admin1
600,30250,04-05-2025,3.5,admin1
601,31548,31-03-2024,3.5,manager_hr
602,32287,18-09-2024,2.6,admin2
603,30663,15-09-2024,3,manager_hr
604,30497,01-02-2025,5.4,hr_user
605,32128,04-05-2023,4.6,manager_hr
606,31735,20-09-2023,2.1,lead_hr
607,31141,16-09-2023,3.1,hr_user
608,33400,02-04-2025,4.1,lead_hr
609,31600,11-02-2025,3.5,hr_user
610,31382,26-02-2025,1.5,admin1
611,32876,24-06-2024,3.5,admin2
612,33418,31-05-2025,3.4,hr_user
613,31752,03-02-2023,2.3,manager_hr
614,31248,30-04-2025,1.3,manager_hr
615,33766,29-04-2025,5,hr_user
616,33448,14-11-2024,3.4,hr_user
617,33509,11-02-2025,4.1,lead_hr
618,30553,06-03-2024,1.3,hr_user
619,32988,15-04-2025,3.2,admin1
620,30350,13-01-2024,4.5,admin1
621,30878,28-07-2024,2,admin1
622,32002,27-01-2025,3.3,lead_hr
623,30983,25-03-2025,2.1,hr_user
624,32579,29-01-2025,3.3,admin1
625,33227,07-07-2024,4.1,admin2
626,30995,01-04-2025,2.4,hr_user
627,32098,21-07-2023,3,hr_user
628,33247,09-10-2023,1.1,manager_hr
629,32082,27-04-2025,2.2,admin2
630,33001,09-08-2024,1.9,admin1
631,33371,10-01-2023,5.8,hr_user
632,33112,11-04-2023,5.9,hr_user
633,33773,17-05-2024,4.2,manager_hr
634,31051,22-02-2023,4.5,admin2
635,33228,14-11-2024,3.1,manager_hr
636,30087,19-09-2024,2,lead_hr
637,30267,09-01-2025,4.6,hr_user
638,30815,08-05-2025,2.2,manager_hr
639,31705,13-04-2024,1.1,manager_hr
640,33760,06-05-2024,2.3,lead_hr
641,30064,21-03-2024,2.3,manager_hr
642,32521,23-05-2023,4.3,admin1
643,30225,30-07-2024,4.6,admin1
644,32254,28-01-2023,4.6,lead_hr
645,33698,30-05-2024,3.9,lead_hr
646,31750,02-03-2025,5.7,admin2
647,30778,13-05-2025,3.8,hr_user
648,30939,30-05-2023,3.9,hr_user
649,33503,14-12-2023,2.2,admin2
650,30516,06-01-2024,1,hr_user
651,32635,07-02-2023,5,lead_hr
652,30762,08-06-2024,3.9,hr_user
653,33143,21-06-2025,3.2,admin1
654,33510,02-08-2023,5,manager_hr
655,33798,02-12-2024,1.8,hr_user
656,31379,31-10-2024,5,admin2
657,31636,13-03-2025,1.2,admin1
658,32329,17-11-2023,5.3,lead_hr
659,32528,07-06-2024,3,admin1
660,31239,04-04-2023,5.7,lead_hr
661,31666,03-02-2024,4.4,admin2
662,30167,18-01-2024,4.6,admin1
663,33371,09-05-2024,3.6,admin1
664,30031,27-06-2023,1.8,admin1
665,33268,20-05-2024,3.9,admin1
666,32518,04-10-2024,5,admin1
667,33633,24-05-2025,3.6,hr_user
668,33954,16-12-2024,3.1,hr_user
669,30727,11-11-2024,2.4,admin2
670,32170,22-05-2024,2.8,lead_hr
671,31393,04-07-2024,5,manager_hr
672,32300,27-10-2024,1,admin2
673,32064,03-06-2025,1.2,manager_hr
674,33503,30-10-2024,1.3,lead_hr
675,32916,05-11-2023,3.3,admin1
676,33427,10-07-2024,1.1,admin1
677,31133,25-08-2024,3.6,hr_user
678,32704,15-06-2025,5.9,admin2
679,31239,16-04-2025,1.9,admin2
680,30184,04-01-2024,1.4,admin2
681,32714,27-12-2023,3.4,admin2
682,31922,13-01-2025,4.9,admin1
683,30853,01-04-2025,2.2,manager_hr
684,31441,15-05-2023,2.8,admin2
685,30232,28-09-2023,2.3,manager_hr
686,33355,12-06-2024,4.4,admin1
687,30680,09-03-2024,2.4,manager_hr
688,33990,16-12-2024,1,admin1
689,31398,21-06-2024,3.9,lead_hr
690,31537,12-09-2024,5.5,manager_hr
691,30879,26-12-2023,2.4,hr_user
692,33164,29-10-2024,1,lead_hr
693,32371,12-04-2023,5.3,admin2
694,30299,29-03-2024,2.5,manager_hr
695,32580,12-02-2025,4.7,admin1
696,32146,04-02-2025,3.7,admin1
697,33009,08-01-2023,1.6,manager_hr
698,31555,21-05-2024,2.5,admin1
699,30422,20-04-2025,1.6,hr_user
700,31174,12-07-2023,5.6,manager_hr
701,33095,02-06-2025,2.1,admin2
702,31342,01-12-2024,4.9,lead_hr
703,32202,05-07-2024,5.7,lead_hr
704,30373,11-11-2023,1.4,admin1
705,31296,19-09-2024,4,manager_hr
706,33927,10-06-2024,5,admin2
707,33555,08-05-2024,1.3,manager_hr
708,30990,15-07-2024,5.5,admin1
709,30340,02-07-2023,4.3,admin1
710,33080,27-05-2024,1.3,hr_user
711,32533,14-03-2025,1.2,admin1
712,30609,05-03-2025,4.5,admin1
713,31690,25-01-2024,4.8,admin1
714,30658,04-03-2024,3.6,admin1
715,31665,10-09-2023,1.7,lead_hr
716,30759,03-10-2024,3.5,hr_user
717,33913,01-03-2024,3.1,admin1
718,31088,08-08-2024,3.6,admin1
719,31467,18-04-2023,3.1,manager_hr
720,33215,15-01-2025,1.3,admin2
721,30080,19-01-2025,2.9,admin1
722,32665,07-12-2023,3.9,lead_hr
723,31804,21-08-2024,3.2,admin1
724,31319,06-12-2023,1.1,admin1
725,32897,18-11-2023,1.6,admin1
726,30163,06-11-2023,2.1,hr_user
727,30579,17-08-2024,3.4,admin2
728,31637,25-12-2024,5.8,manager_hr
729,31071,17-01-2025,2,lead_hr
730,30789,09-01-2023,2.3,admin1
731,32229,05-05-2024,2.2,admin1
732,31243,09-11-2024,3.3,hr_user
733,31166,07-04-2025,6,admin2
734,31816,17-06-2024,3.8,admin1
735,31397,24-02-2023,5.1,lead_hr
736,31652,05-02-2024,3,manager_hr
737,30295,12-06-2023,3.9,manager_hr
738,30970,23-03-2024,2.6,admin1
739,32985,06-12-2023,3.8,admin2
740,32151,30-12-2023,5.3,lead_hr
741,32888,19-03-2023,5.5,admin1
742,33931,27-12-2024,5.2,admin2
743,32596,18-01-2025,4.2,admin2
744,30823,26-05-2023,5.8,admin2
745,30327,21-07-2024,1.6,hr_user
746,31698,04-09-2023,1.6,admin1
747,33110,28-08-2023,3.2,hr_user
748,31316,09-06-2025,1.9,manager_hr
749,30799,15-05-2024,3.1,admin1
750,30184,25-04-2025,3.6,manager_hr
751,30349,01-09-2023,3.7,admin1
752,31987,22-06-2024,1.8,admin2
753,33475,20-05-2025,5.9,lead_hr
754,31671,20-02-2023,5.4,hr_user
755,30055,15-10-2024,4.2,manager_hr
756,33751,14-03-2023,1.2,lead_hr
757,30520,05-11-2023,1.1,lead_hr
758,31210,07-09-2023,4.9,hr_user
759,30920,25-05-2024,5.5,admin2
760,32560,10-04-2025,2,manager_hr
761,31763,04-03-2024,4.9,admin1
762,32578,13-12-2024,2.8,lead_hr
763,31277,15-01-2024,3.6,manager_hr
764,31001,24-01-2025,2.9,manager_hr
765,32958,17-05-2023,1.6,hr_user
766,30284,27-09-2024,2.9,lead_hr
767,33497,24-05-2025,5.5,admin1
768,30306,18-09-2023,4.7,admin1
769,31000,17-09-2023,4.9,admin1
770,33823,07-03-2024,1.4,lead_hr
771,31364,28-09-2024,1.4,hr_user
772,30964,29-08-2023,1.6,admin1
773,33424,28-04-2024,2,manager_hr
774,33600,01-05-2025,1.4,lead_hr
775,32643,01-12-2023,5.2,hr_user
776,32334,07-01-2023,4,lead_hr
777,33926,25-08-2024,2.6,lead_hr
778,32090,07-05-2025,4.8,manager_hr
779,33166,21-08-2024,3.5,lead_hr
780,30337,31-05-2023,5.8,hr_user
781,30237,28-03-2023,3.6,admin1
782,30872,10-01-2023,5.5,admin2
783,31411,29-11-2023,3.4,hr_user
784,31819,27-11-2024,2.6,manager_hr
785,33745,06-11-2024,3.1,admin1
786,30001,06-10-2023,5.9,lead_hr
787,31589,20-05-2024,2,lead_hr
788,30439,28-10-2024,3.8,lead_hr
789,31459,22-12-2023,1.3,manager_hr
790,31047,10-08-2023,1.4,lead_hr
791,31661,17-11-2024,3.3,admin1
792,31343,07-07-2024,4.3,hr_user
793,30604,09-11-2023,5.3,hr_user
794,33062,02-10-2023,4.9,admin1
795,31090,10-04-2023,2.7,admin1
796,31072,28-06-2024,5.5,admin2
797,31291,06-01-2023,5.7,lead_hr
798,31422,02-01-2025,4.5,hr_user
799,30480,30-04-2025,4.8,admin1
800,30909,26-06-2024,5.4,lead_hr
801,33477,18-05-2025,3.2,manager_hr
802,33681,08-02-2024,2.8,manager_hr
803,31138,09-11-2023,2.3,manager_hr
804,33497,17-05-2025,4.8,hr_user
805,32306,21-04-2023,5.2,admin2
806,30459,20-01-2024,4,hr_user
807,33585,17-01-2025,6,hr_user
808,33965,15-03-2024,3,lead_hr
809,30925,25-05-2024,2.3,admin1
810,31842,04-07-2023,1.6,manager_hr
811,30025,16-04-2023,3.3,manager_hr
812,32959,11-11-2024,2.8,manager_hr
813,30599,15-04-2025,2.2,hr_user
814,32750,22-12-2024,5,admin1
815,31760,14-04-2024,3.8,admin2
816,33465,03-08-2023,2.8,lead_hr
817,30719,01-11-2023,1.9,admin2
818,32439,05-12-2023,4.5,manager_hr
819,31557,25-02-2025,3.7,hr_user
820,32041,02-03-2023,4.5,lead_hr
821,31126,17-04-2025,4.1,manager_hr
822,33795,24-03-2024,5.4,admin1
823,31884,13-11-2023,1.7,manager_hr
824,30211,04-05-2025,5.2,admin2
825,33773,28-12-2024,3.2,admin1
826,32164,01-01-2025,2.7,hr_user
827,31074,26-08-2023,2.3,lead_hr
828,30985,25-10-2024,5.4,hr_user
829,33515,13-04-2024,3.5,lead_hr
830,33171,30-08-2024,2.9,hr_user
831,33049,12-07-2023,4.7,admin2
832,31675,01-09-2023,5.4,admin1
833,33511,01-01-2023,1.3,manager_hr
834,32708,04-05-2025,2.7,admin1
835,33377,04-05-2024,1.8,admin1
836,32808,28-11-2024,2.7,lead_hr
837,31451,01-08-2023,1.4,admin1
838,31457,21-02-2025,1.9,lead_hr
839,33379,09-07-2023,2.3,admin2
840,32268,26-04-2024,2,lead_hr
841,30204,16-01-2024,1.1,manager_hr
842,32617,27-05-2024,1.7,lead_hr
843,32642,06-05-2024,1.8,admin2
844,30975,31-03-2023,2.9,admin2
845,32496,12-10-2023,5,admin1
846,31206,20-08-2023,3.6,admin2
847,30160,21-10-2024,3.3,admin1
848,33657,11-02-2025,5.1,manager_hr
849,30007,05-08-2023,4,admin2
850,32960,28-02-2023,2,admin2
851,32561,06-06-2024,4.7,admin1
852,31540,16-07-2023,4.3,admin1
853,30723,28-04-2024,1.5,lead_hr
854,30761,04-04-2025,5.7,hr_user
855,31882,19-06-2024,4.4,lead_hr
856,31887,21-04-2023,5,hr_user
857,31112,30-10-2023,1.5,lead_hr
858,32531,10-10-2023,4.6,hr_user
859,30790,17-05-2025,3.4,manager_hr
860,32961,15-01-2024,4.7,manager_hr
861,30957,20-02-2024,4.8,lead_hr
862,31973,09-08-2024,2.5,manager_hr
863,32973,19-02-2023,4.4,manager_hr
864,30135,04-06-2025,2.7,admin2
865,32009,04-12-2023,4.4,admin1
866,31918,02-08-2024,2.8,manager_hr
867,32797,28-08-2023,1.8,manager_hr
868,30908,29-03-2023,1.2,manager_hr
869,31907,18-01-2025,2.8,lead_hr
870,31424,26-04-2025,2.3,hr_user
871,30705,20-02-2024,2.1,hr_user
