attendance_id,employee_id,attendance_date,check_in_time,check_out_time,updated_by,updated_at
1027,32902,05-02-2025,09:15:00,17:20:00,admin1,05-02-2025 17:00
1028,33747,17-02-2025,10:10:00,18:10:00,hr_user,17-02-2025 18:00
1029,33055,06-04-2025,10:10:00,18:15:00,admin2,06-04-2025 17:00
1030,32434,15-06-2025,10:30:00,18:40:00,admin3,15-06-2025 18:00
1031,33477,21-01-2025,08:30:00,16:40:00,admin2,21-01-2025 17:00
1032,33085,25-02-2025,10:15:00,18:15:00,hr_user,25-02-2025 17:00
1033,30551,14-04-2025,10:30:00,18:45:00,admin1,14-04-2025 19:00
1034,30196,16-06-2025,10:20:00,18:25:00,hr_user,16-06-2025 17:00
1035,33610,28-01-2025,09:20:00,17:30:00,admin1,28-01-2025 18:00
1036,33452,01-05-2025,08:30:00,16:30:00,hr_user,01-05-2025 19:00
1037,32124,31-01-2025,10:00:00,18:10:00,admin1,31-01-2025 18:00
1038,31230,29-05-2025,09:30:00,17:45:00,admin1,29-05-2025 17:00
1039,30043,11-05-2025,08:30:00,16:35:00,admin1,11-05-2025 17:00
1040,30207,28-04-2025,09:05:00,17:05:00,hr_user,28-04-2025 19:00
1041,32249,23-02-2025,09:10:00,17:25:00,admin3,23-02-2025 18:00
1042,30069,28-12-2024,10:30:00,18:30:00,admin3,28-12-2024 19:00
1043,30656,09-04-2025,09:00:00,17:15:00,hr_user,09-04-2025 17:00
1044,31443,15-02-2025,08:10:00,16:20:00,admin3,15-02-2025 18:00
1045,30178,21-03-2025,10:00:00,18:15:00,admin2,21-03-2025 17:00
1046,33091,22-01-2025,10:05:00,18:05:00,admin2,22-01-2025 18:00
1047,32550,18-05-2025,08:10:00,16:25:00,admin2,18-05-2025 17:00
1048,32521,20-05-2025,08:10:00,16:15:00,admin1,20-05-2025 19:00
1049,30909,02-05-2025,09:15:00,17:30:00,admin1,02-05-2025 17:00
1050,31942,21-03-2025,09:30:00,17:30:00,admin1,21-03-2025 17:00
1051,31466,28-03-2025,10:30:00,18:30:00,admin1,28-03-2025 17:00
1052,32790,25-03-2025,10:15:00,18:30:00,admin2,25-03-2025 17:00
1053,33281,28-12-2024,08:30:00,16:40:00,admin3,28-12-2024 18:00
1054,33441,15-04-2025,10:15:00,18:30:00,admin3,15-04-2025 17:00
1055,30006,13-06-2025,08:15:00,16:15:00,hr_user,13-06-2025 17:00
1056,30335,14-03-2025,10:05:00,18:20:00,admin3,14-03-2025 17:00
1057,30383,13-03-2025,09:30:00,17:45:00,admin2,13-03-2025 19:00
1058,33023,12-05-2025,10:10:00,18:10:00,admin2,12-05-2025 18:00
1059,33130,11-04-2025,,,hr_user,11-04-2025 18:00
1060,33634,29-01-2025,09:20:00,17:20:00,admin1,29-01-2025 17:00
1061,31185,02-04-2025,09:20:00,17:30:00,admin2,02-04-2025 18:00
1062,32459,21-01-2025,09:00:00,17:15:00,admin2,21-01-2025 17:00
1063,32822,29-04-2025,09:15:00,17:30:00,hr_user,29-04-2025 19:00
1064,31271,11-03-2025,08:20:00,16:35:00,hr_user,11-03-2025 19:00
1065,30463,23-01-2025,08:15:00,16:15:00,admin3,23-01-2025 18:00
1066,32463,12-01-2025,08:15:00,16:15:00,hr_user,12-01-2025 17:00
1067,33647,09-02-2025,10:00:00,18:05:00,hr_user,09-02-2025 18:00
1068,33598,17-03-2025,08:30:00,16:35:00,admin3,17-03-2025 19:00
1069,33274,06-04-2025,09:15:00,17:20:00,admin1,06-04-2025 18:00
1070,33277,15-02-2025,09:15:00,17:30:00,hr_user,15-02-2025 18:00
1071,31402,29-05-2025,08:05:00,16:20:00,admin2,29-05-2025 18:00
1072,31661,31-05-2025,09:05:00,17:20:00,admin2,31-05-2025 17:00
1073,32098,19-05-2025,,,admin2,19-05-2025 18:00
1074,32782,08-02-2025,08:05:00,16:05:00,admin2,08-02-2025 19:00
1075,33205,26-04-2025,10:05:00,18:15:00,hr_user,26-04-2025 19:00
1076,31414,26-05-2025,10:00:00,18:00:00,admin3,26-05-2025 18:00
1077,33230,30-12-2024,08:30:00,16:40:00,admin1,30-12-2024 19:00
1078,32935,11-02-2025,09:20:00,17:35:00,hr_user,11-02-2025 18:00
1079,30764,07-02-2025,08:10:00,16:15:00,admin2,07-02-2025 19:00
1080,30924,06-06-2025,00:00:00,00:00:00,admin3,06-06-2025 17:00
1081,30928,07-06-2025,08:20:00,16:25:00,hr_user,07-06-2025 18:00
1082,31267,10-05-2025,08:05:00,16:15:00,admin2,10-05-2025 17:00
1083,30862,20-01-2025,10:30:00,18:35:00,admin3,20-01-2025 19:00
1084,31559,27-03-2025,09:10:00,17:10:00,admin3,27-03-2025 17:00
1085,32977,14-05-2025,00:00:00,00:00:00,admin1,14-05-2025 19:00
1086,32757,19-06-2025,09:00:00,17:05:00,hr_user,19-06-2025 17:00
1087,31009,31-01-2025,08:05:00,16:05:00,hr_user,31-01-2025 17:00
1088,33529,15-02-2025,08:00:00,16:05:00,admin1,15-02-2025 19:00
1089,32027,11-04-2025,09:20:00,17:20:00,hr_user,11-04-2025 19:00
1090,33223,26-02-2025,08:15:00,16:25:00,hr_user,26-02-2025 18:00
1091,31086,23-02-2025,09:10:00,17:25:00,admin3,23-02-2025 19:00
1092,32526,27-05-2025,10:05:00,18:20:00,hr_user,27-05-2025 17:00
1093,33549,22-04-2025,08:15:00,16:30:00,hr_user,22-04-2025 18:00
1094,33738,30-04-2025,09:20:00,17:25:00,admin3,30-04-2025 17:00
1095,31188,17-01-2025,09:00:00,17:00:00,hr_user,17-01-2025 19:00
1096,32607,05-06-2025,08:10:00,16:15:00,admin1,05-06-2025 19:00
1097,30936,11-05-2025,00:00:00,00:00:00,admin1,11-05-2025 18:00
1098,33723,18-05-2025,10:15:00,18:30:00,admin2,18-05-2025 17:00
1099,33397,15-01-2025,09:30:00,17:45:00,admin2,15-01-2025 19:00
1100,31084,09-01-2025,09:20:00,17:25:00,admin1,09-01-2025 17:00
1101,30059,15-01-2025,09:30:00,17:35:00,admin3,15-01-2025 18:00
1102,33341,18-04-2025,09:30:00,17:30:00,admin3,18-04-2025 18:00
1103,32944,28-12-2024,,,admin1,28-12-2024 19:00
1104,31263,28-04-2025,09:10:00,17:10:00,hr_user,28-04-2025 18:00
1105,30040,07-01-2025,08:10:00,16:10:00,admin1,07-01-2025 18:00
1106,33247,24-05-2025,10:00:00,18:00:00,admin3,24-05-2025 19:00
1107,30263,22-01-2025,10:20:00,18:20:00,hr_user,22-01-2025 18:00
1108,33475,20-02-2025,10:15:00,18:30:00,admin1,20-02-2025 19:00
1109,31535,27-01-2025,09:00:00,17:05:00,admin2,27-01-2025 18:00
1110,33251,25-04-2025,08:15:00,16:15:00,admin1,25-04-2025 17:00
1111,32005,02-04-2025,10:05:00,18:05:00,admin3,02-04-2025 18:00
1112,30644,12-05-2025,10:00:00,18:00:00,hr_user,12-05-2025 17:00
1113,32300,26-01-2025,08:30:00,16:40:00,admin1,26-01-2025 18:00
1114,31632,12-06-2025,10:20:00,18:30:00,admin2,12-06-2025 18:00
1115,32640,15-05-2025,08:20:00,16:25:00,admin3,15-05-2025 19:00
1116,32918,29-01-2025,09:05:00,17:15:00,admin3,29-01-2025 19:00
1117,31341,26-03-2025,08:30:00,16:35:00,hr_user,26-03-2025 18:00
1118,31784,13-02-2025,10:30:00,18:30:00,admin2,13-02-2025 18:00
1119,32236,13-01-2025,08:30:00,16:35:00,admin3,13-01-2025 18:00
1120,31158,22-04-2025,08:00:00,16:05:00,admin1,22-04-2025 18:00
1121,31541,28-01-2025,08:10:00,16:15:00,hr_user,28-01-2025 17:00
1122,31759,16-02-2025,10:05:00,18:20:00,admin3,16-02-2025 18:00
1123,33293,10-03-2025,09:30:00,17:35:00,admin2,10-03-2025 17:00
1124,33085,06-05-2025,08:20:00,16:30:00,hr_user,06-05-2025 18:00
1125,30345,16-06-2025,10:15:00,18:25:00,admin1,16-06-2025 17:00
1126,32333,18-01-2025,09:05:00,17:10:00,admin1,18-01-2025 17:00
1127,31214,22-02-2025,08:15:00,16:20:00,admin2,22-02-2025 17:00
1128,33758,30-03-2025,10:20:00,18:30:00,hr_user,30-03-2025 18:00
1129,33387,23-06-2025,09:00:00,17:15:00,admin2,23-06-2025 18:00
1130,32948,20-02-2025,10:00:00,18:00:00,admin1,20-02-2025 19:00
1131,32867,29-12-2024,09:00:00,17:10:00,admin3,29-12-2024 18:00
1132,33493,06-06-2025,09:15:00,17:30:00,admin2,06-06-2025 19:00
1133,31041,03-04-2025,09:00:00,17:05:00,hr_user,03-04-2025 17:00
1134,30112,20-01-2025,10:15:00,18:25:00,admin2,20-01-2025 19:00
1135,31049,22-04-2025,09:05:00,17:20:00,admin1,22-04-2025 18:00
1136,33702,04-01-2025,09:05:00,17:10:00,hr_user,04-01-2025 19:00
1137,32203,11-06-2025,10:00:00,18:05:00,admin3,11-06-2025 18:00
1138,33609,05-06-2025,08:15:00,16:25:00,admin3,05-06-2025 19:00
1139,30415,02-01-2025,08:15:00,16:15:00,admin3,02-01-2025 17:00
1140,31577,15-05-2025,09:30:00,17:30:00,hr_user,15-05-2025 18:00
1141,32970,08-03-2025,10:10:00,18:25:00,admin2,08-03-2025 17:00
1142,33140,23-05-2025,10:00:00,18:10:00,admin3,23-05-2025 17:00
1143,32193,25-04-2025,09:15:00,17:25:00,admin3,25-04-2025 17:00
1144,30335,10-06-2025,10:00:00,18:05:00,admin2,10-06-2025 17:00
1145,32141,26-05-2025,00:00:00,00:00:00,hr_user,26-05-2025 17:00
1146,30995,22-01-2025,10:05:00,18:05:00,admin1,22-01-2025 17:00
1147,30448,12-01-2025,08:30:00,16:40:00,admin1,12-01-2025 17:00
1148,30997,15-03-2025,10:20:00,18:25:00,admin3,15-03-2025 18:00
1149,30656,29-01-2025,10:30:00,18:45:00,admin1,29-01-2025 17:00
1150,33442,15-03-2025,10:00:00,18:05:00,admin1,15-03-2025 17:00
1151,32285,01-02-2025,10:15:00,18:15:00,admin2,01-02-2025 19:00
1152,32857,15-02-2025,09:15:00,17:25:00,admin3,15-02-2025 18:00
1153,30401,01-02-2025,09:30:00,17:40:00,admin3,01-02-2025 19:00
1154,31561,28-05-2025,10:20:00,18:20:00,admin3,28-05-2025 17:00
1155,33847,24-03-2025,10:00:00,18:05:00,admin3,24-03-2025 19:00
1156,30770,21-04-2025,09:00:00,17:10:00,admin2,21-04-2025 19:00
1157,30519,16-05-2025,10:05:00,18:15:00,hr_user,16-05-2025 19:00
1158,32081,05-05-2025,08:05:00,16:05:00,admin3,05-05-2025 18:00
1159,33112,06-06-2025,08:20:00,16:30:00,admin2,06-06-2025 19:00
1160,33778,11-05-2025,08:10:00,16:15:00,admin3,11-05-2025 19:00
1161,31528,14-05-2025,08:30:00,16:35:00,admin3,14-05-2025 17:00
1162,32143,22-06-2025,08:30:00,16:30:00,admin3,22-06-2025 19:00
1163,33406,26-02-2025,09:00:00,17:15:00,admin2,26-02-2025 17:00
1164,30755,13-03-2025,10:10:00,18:10:00,admin1,13-03-2025 18:00
1165,32056,19-04-2025,09:20:00,17:20:00,admin2,19-04-2025 17:00
1166,31036,02-01-2025,08:05:00,16:10:00,hr_user,02-01-2025 18:00
1167,32322,28-05-2025,09:00:00,17:05:00,admin1,28-05-2025 17:00
1168,30385,09-01-2025,09:00:00,17:10:00,admin1,09-01-2025 19:00
1169,32310,16-05-2025,08:20:00,16:35:00,admin2,16-05-2025 19:00
1170,32907,13-06-2025,10:00:00,18:00:00,hr_user,13-06-2025 19:00
1171,31031,03-05-2025,09:20:00,17:25:00,admin2,03-05-2025 19:00
1172,33149,26-01-2025,09:15:00,17:25:00,hr_user,26-01-2025 19:00
1173,32028,03-01-2025,08:30:00,16:35:00,admin3,03-01-2025 18:00
1174,33606,09-04-2025,09:00:00,17:10:00,hr_user,09-04-2025 19:00
1175,31394,12-01-2025,10:05:00,18:10:00,admin2,12-01-2025 17:00
1176,32175,19-03-2025,10:20:00,18:25:00,admin2,19-03-2025 17:00
1177,32497,06-03-2025,10:15:00,18:25:00,admin1,06-03-2025 18:00
1178,33278,16-02-2025,08:20:00,16:30:00,admin2,16-02-2025 17:00
1179,31839,01-02-2025,,,admin1,01-02-2025 17:00
1180,33313,30-01-2025,10:10:00,18:15:00,hr_user,30-01-2025 19:00
1181,32210,01-05-2025,,,admin3,01-05-2025 19:00
1182,31186,29-05-2025,09:15:00,17:30:00,admin2,29-05-2025 18:00
1183,32104,08-06-2025,08:00:00,16:10:00,admin3,08-06-2025 19:00
1184,31065,17-05-2025,10:30:00,18:35:00,admin2,17-05-2025 19:00
1185,32488,12-06-2025,10:00:00,18:15:00,admin3,12-06-2025 18:00
1186,33260,22-03-2025,08:05:00,16:20:00,hr_user,22-03-2025 17:00
1187,30846,21-04-2025,09:05:00,17:15:00,admin3,21-04-2025 19:00
1188,33389,29-05-2025,10:10:00,18:25:00,admin2,29-05-2025 17:00
1189,30234,24-06-2025,09:05:00,17:05:00,admin2,24-06-2025 18:00
1190,31785,29-01-2025,08:05:00,16:20:00,admin3,29-01-2025 19:00
1191,32382,05-04-2025,08:10:00,16:20:00,admin3,05-04-2025 17:00
1192,32894,19-03-2025,10:10:00,18:15:00,admin1,19-03-2025 18:00
1193,30435,09-03-2025,00:00:00,00:00:00,admin2,09-03-2025 18:00
1194,30016,05-06-2025,08:15:00,16:30:00,admin2,05-06-2025 17:00
1195,32333,24-05-2025,10:15:00,18:15:00,admin2,24-05-2025 18:00
1196,32398,04-02-2025,10:30:00,18:40:00,hr_user,04-02-2025 17:00
1197,33488,15-03-2025,09:10:00,17:15:00,admin1,15-03-2025 17:00
1198,33914,06-06-2025,08:20:00,16:35:00,admin1,06-06-2025 19:00
1199,31442,14-05-2025,09:30:00,17:40:00,admin2,14-05-2025 19:00
1200,31378,31-03-2025,08:00:00,16:10:00,admin3,31-03-2025 19:00
1201,32881,27-02-2025,08:30:00,16:30:00,hr_user,27-02-2025 19:00
1202,31185,18-06-2025,08:10:00,16:10:00,admin1,18-06-2025 17:00
1203,32607,01-03-2025,09:30:00,17:35:00,hr_user,01-03-2025 18:00
1204,30495,06-04-2025,08:30:00,16:30:00,admin2,06-04-2025 18:00
1205,33813,11-03-2025,10:05:00,18:10:00,admin2,11-03-2025 18:00
1206,32959,23-03-2025,09:20:00,17:20:00,admin3,23-03-2025 19:00
1207,31959,16-03-2025,10:00:00,18:05:00,admin2,16-03-2025 18:00
1208,32166,24-01-2025,08:05:00,16:15:00,hr_user,24-01-2025 19:00
1209,30927,29-12-2024,09:10:00,17:25:00,admin2,29-12-2024 19:00
1210,31287,31-03-2025,08:20:00,16:30:00,admin2,31-03-2025 18:00
1211,31281,11-02-2025,09:30:00,17:40:00,admin3,11-02-2025 17:00
1212,32942,07-04-2025,09:15:00,17:25:00,admin2,07-04-2025 19:00
1213,33705,07-04-2025,10:20:00,18:30:00,admin1,07-04-2025 19:00
1214,33081,19-01-2025,09:00:00,17:05:00,admin2,19-01-2025 18:00
1215,30991,08-03-2025,08:00:00,16:05:00,hr_user,08-03-2025 18:00
1216,32046,16-05-2025,00:00:00,00:00:00,admin3,16-05-2025 19:00
1217,30834,02-06-2025,10:10:00,18:25:00,admin1,02-06-2025 19:00
1218,30763,04-05-2025,08:05:00,16:10:00,hr_user,04-05-2025 19:00
1219,31780,12-03-2025,,,admin3,12-03-2025 18:00
1220,30796,29-03-2025,10:20:00,18:25:00,admin1,29-03-2025 18:00
1221,31662,08-06-2025,08:15:00,16:30:00,hr_user,08-06-2025 19:00
1222,32608,23-02-2025,10:30:00,18:45:00,hr_user,23-02-2025 17:00
1223,31446,06-05-2025,08:05:00,16:15:00,admin2,06-05-2025 19:00
1224,33014,25-02-2025,10:15:00,18:20:00,admin1,25-02-2025 17:00
1225,30097,29-03-2025,09:30:00,17:40:00,admin1,29-03-2025 17:00
1226,33832,01-04-2025,10:15:00,18:30:00,admin1,01-04-2025 18:00
1227,30590,23-02-2025,10:10:00,18:15:00,hr_user,23-02-2025 18:00
1228,30437,11-01-2025,10:30:00,18:30:00,hr_user,11-01-2025 19:00
1229,32017,13-06-2025,08:05:00,16:05:00,hr_user,13-06-2025 19:00
1230,30706,29-12-2024,09:20:00,17:20:00,admin3,29-12-2024 18:00
1231,31978,16-02-2025,00:00:00,00:00:00,admin2,16-02-2025 17:00
1232,31050,11-01-2025,10:20:00,18:30:00,hr_user,11-01-2025 18:00
1233,33447,23-06-2025,,,admin3,23-06-2025 17:00
1234,33729,26-01-2025,08:05:00,16:05:00,hr_user,26-01-2025 18:00
1235,30362,04-05-2025,08:10:00,16:15:00,admin3,04-05-2025 18:00
1236,30807,10-05-2025,00:00:00,00:00:00,admin2,10-05-2025 18:00
1237,33480,18-06-2025,,,hr_user,18-06-2025 19:00
1238,30244,03-05-2025,08:30:00,16:35:00,hr_user,03-05-2025 17:00
1239,31943,02-03-2025,08:30:00,16:30:00,admin3,02-03-2025 17:00
1240,30444,31-03-2025,08:10:00,16:15:00,hr_user,31-03-2025 17:00
1241,32367,05-01-2025,10:10:00,18:10:00,admin1,05-01-2025 19:00
1242,30693,06-06-2025,09:15:00,17:30:00,admin2,06-06-2025 18:00
1243,31525,04-02-2025,08:20:00,16:35:00,admin1,04-02-2025 17:00
1244,33701,09-01-2025,10:10:00,18:25:00,hr_user,09-01-2025 17:00
1245,33509,21-03-2025,10:15:00,18:25:00,admin1,21-03-2025 17:00
1246,30585,09-03-2025,08:15:00,16:25:00,admin2,09-03-2025 19:00
1247,31474,12-04-2025,08:30:00,16:35:00,hr_user,12-04-2025 17:00
1248,33348,09-01-2025,10:15:00,18:30:00,admin3,09-01-2025 18:00
1249,32007,10-05-2025,10:30:00,18:35:00,admin3,10-05-2025 18:00
1250,32937,14-05-2025,09:30:00,17:30:00,admin2,14-05-2025 17:00
1251,30743,19-06-2025,09:10:00,17:25:00,admin1,19-06-2025 19:00
1252,33650,26-01-2025,09:05:00,17:05:00,admin2,26-01-2025 19:00
1253,31406,02-03-2025,08:00:00,16:15:00,hr_user,02-03-2025 18:00
1254,32191,16-02-2025,08:05:00,16:15:00,admin3,16-02-2025 17:00
1255,33371,10-06-2025,08:10:00,16:10:00,admin2,10-06-2025 18:00
1256,33532,06-01-2025,08:10:00,16:20:00,admin2,06-01-2025 17:00
1257,31377,20-05-2025,09:30:00,17:40:00,admin1,20-05-2025 18:00
1258,31309,03-04-2025,10:00:00,18:10:00,admin3,03-04-2025 17:00
1259,32541,30-05-2025,10:15:00,18:30:00,admin3,30-05-2025 19:00
1260,30003,08-06-2025,09:10:00,17:20:00,admin3,08-06-2025 18:00
1261,33779,28-02-2025,09:30:00,17:45:00,admin1,28-02-2025 18:00
1262,32946,25-02-2025,10:30:00,18:40:00,admin1,25-02-2025 19:00
1263,30380,06-02-2025,10:05:00,18:05:00,hr_user,06-02-2025 19:00
1264,32971,02-01-2025,09:20:00,17:30:00,admin3,02-01-2025 18:00
1265,32847,20-02-2025,10:00:00,18:00:00,admin2,20-02-2025 19:00
1266,30905,16-05-2025,08:30:00,16:30:00,admin1,16-05-2025 19:00
1267,31678,18-01-2025,10:30:00,18:40:00,admin3,18-01-2025 18:00
1268,31317,13-05-2025,00:00:00,00:00:00,admin3,13-05-2025 19:00
1269,32522,27-01-2025,10:10:00,18:15:00,admin2,27-01-2025 17:00
1270,32454,31-03-2025,09:20:00,17:35:00,hr_user,31-03-2025 18:00
1271,32113,06-04-2025,08:15:00,16:20:00,hr_user,06-04-2025 19:00
1272,31084,14-02-2025,10:05:00,18:15:00,admin2,14-02-2025 19:00
1273,31250,30-04-2025,08:30:00,16:35:00,admin2,30-04-2025 17:00
1274,33325,28-04-2025,08:10:00,16:25:00,admin3,28-04-2025 17:00
1275,30509,25-05-2025,08:05:00,16:05:00,admin2,25-05-2025 19:00
1276,32921,06-01-2025,08:15:00,16:20:00,admin3,06-01-2025 18:00
1277,31159,15-06-2025,10:00:00,18:05:00,admin3,15-06-2025 17:00
1278,30647,03-02-2025,10:15:00,18:15:00,hr_user,03-02-2025 18:00
1279,30801,29-04-2025,10:20:00,18:25:00,hr_user,29-04-2025 17:00
1280,30383,23-03-2025,09:10:00,17:25:00,admin1,23-03-2025 18:00
1281,31237,26-03-2025,09:00:00,17:15:00,admin1,26-03-2025 18:00
1282,32362,07-02-2025,10:05:00,18:05:00,admin1,07-02-2025 17:00
1283,30070,13-05-2025,09:30:00,17:30:00,hr_user,13-05-2025 17:00
1284,33606,11-01-2025,08:10:00,16:25:00,admin2,11-01-2025 19:00
1285,30421,06-05-2025,,,hr_user,06-05-2025 19:00
1286,30939,20-04-2025,09:30:00,17:40:00,hr_user,20-04-2025 17:00
1287,31611,10-03-2025,,,hr_user,10-03-2025 19:00
1288,31819,01-05-2025,08:00:00,16:00:00,admin1,01-05-2025 19:00
1289,32776,20-06-2025,,,admin2,20-06-2025 18:00
1290,33812,17-04-2025,10:10:00,18:15:00,admin3,17-04-2025 17:00
1291,30001,12-02-2025,10:00:00,18:00:00,hr_user,12-02-2025 19:00
1292,31098,25-04-2025,10:30:00,18:35:00,admin1,25-04-2025 19:00
1293,32355,26-05-2025,09:05:00,17:20:00,hr_user,26-05-2025 18:00
1294,32403,18-03-2025,08:10:00,16:10:00,admin1,18-03-2025 18:00
1295,30050,22-06-2025,10:00:00,18:05:00,admin2,22-06-2025 17:00
1296,30910,27-02-2025,08:30:00,16:35:00,admin3,27-02-2025 17:00
1297,33285,06-02-2025,,,admin1,06-02-2025 18:00
1298,32674,17-01-2025,09:10:00,17:10:00,hr_user,17-01-2025 17:00
1299,31915,11-01-2025,10:00:00,18:15:00,admin2,11-01-2025 17:00
1300,30912,09-05-2025,09:15:00,17:15:00,admin1,09-05-2025 19:00
1301,32663,15-02-2025,00:00:00,00:00:00,admin1,15-02-2025 19:00
1302,31214,21-01-2025,09:00:00,17:10:00,admin3,21-01-2025 17:00
1303,30862,30-05-2025,,,admin2,30-05-2025 18:00
1304,33588,17-06-2025,10:15:00,18:25:00,admin1,17-06-2025 19:00
1305,32283,03-02-2025,,,admin2,03-02-2025 19:00
1306,32771,21-02-2025,08:05:00,16:10:00,admin3,21-02-2025 19:00
1307,33884,07-06-2025,10:15:00,18:15:00,hr_user,07-06-2025 19:00
1308,31670,14-05-2025,09:00:00,17:10:00,admin1,14-05-2025 17:00
1309,32398,22-02-2025,08:30:00,16:40:00,hr_user,22-02-2025 17:00
1310,32094,30-12-2024,09:20:00,17:25:00,hr_user,30-12-2024 19:00
1311,32069,19-06-2025,08:10:00,16:20:00,admin2,19-06-2025 17:00
1312,31459,04-02-2025,10:30:00,18:40:00,admin3,04-02-2025 18:00
1313,33583,28-02-2025,10:00:00,18:05:00,admin2,28-02-2025 17:00
1314,32911,14-04-2025,08:30:00,16:40:00,admin3,14-04-2025 19:00
1315,30111,30-12-2024,00:00:00,00:00:00,admin2,30-12-2024 18:00
1316,30627,08-04-2025,09:15:00,17:20:00,admin2,08-04-2025 19:00
1317,33406,11-03-2025,10:20:00,18:20:00,hr_user,11-03-2025 17:00
1318,31761,21-06-2025,00:00:00,00:00:00,admin3,21-06-2025 19:00
1319,32655,09-04-2025,09:05:00,17:20:00,admin2,09-04-2025 19:00
1320,31993,18-06-2025,09:15:00,17:20:00,admin3,18-06-2025 19:00
1321,33151,27-04-2025,08:20:00,16:25:00,admin1,27-04-2025 19:00
1322,32417,12-02-2025,09:10:00,17:25:00,admin3,12-02-2025 19:00
1323,32480,14-06-2025,09:10:00,17:25:00,admin1,14-06-2025 18:00
1324,32643,17-03-2025,10:10:00,18:25:00,admin1,17-03-2025 19:00
1325,33286,26-04-2025,09:00:00,17:00:00,admin1,26-04-2025 19:00
1326,30849,12-01-2025,10:05:00,18:20:00,admin1,12-01-2025 19:00
1327,30349,28-03-2025,09:20:00,17:30:00,admin3,28-03-2025 19:00
1328,30721,27-01-2025,08:20:00,16:35:00,admin3,27-01-2025 19:00
1329,33428,03-05-2025,10:05:00,18:15:00,admin2,03-05-2025 18:00
1330,32212,20-02-2025,08:15:00,16:20:00,admin2,20-02-2025 19:00
1331,32147,04-04-2025,10:05:00,18:10:00,hr_user,04-04-2025 17:00
1332,33331,11-04-2025,09:15:00,17:15:00,admin2,11-04-2025 18:00
1333,31164,15-05-2025,08:15:00,16:30:00,admin1,15-05-2025 17:00
1334,32936,11-05-2025,10:30:00,18:40:00,admin2,11-05-2025 17:00
1335,30759,20-03-2025,09:30:00,17:35:00,admin1,20-03-2025 18:00
1336,33279,16-01-2025,09:05:00,17:20:00,hr_user,16-01-2025 17:00
1337,32094,27-01-2025,10:00:00,18:15:00,admin2,27-01-2025 18:00
1338,30230,15-01-2025,00:00:00,00:00:00,admin2,15-01-2025 18:00
1339,32604,31-01-2025,00:00:00,00:00:00,hr_user,31-01-2025 17:00
1340,33575,29-04-2025,09:15:00,17:20:00,admin1,29-04-2025 19:00
1341,30602,15-01-2025,08:20:00,16:25:00,hr_user,15-01-2025 18:00
1342,32814,31-12-2024,10:15:00,18:30:00,admin3,31-12-2024 18:00
1343,33258,17-01-2025,08:05:00,16:15:00,hr_user,17-01-2025 18:00
1344,30325,09-05-2025,10:20:00,18:25:00,hr_user,09-05-2025 17:00
1345,31059,01-02-2025,09:05:00,17:10:00,admin3,01-02-2025 19:00
1346,33407,28-04-2025,10:00:00,18:15:00,admin2,28-04-2025 19:00
1347,31108,15-06-2025,08:30:00,16:35:00,admin1,15-06-2025 17:00
1348,30931,03-05-2025,09:05:00,17:20:00,admin2,03-05-2025 17:00
1349,30872,03-02-2025,10:20:00,18:25:00,admin2,03-02-2025 17:00
